support,itemsets
3.17503995258607e-05,"frozenset({'health_beauty', 'food'})"
1.0583466508620234e-05,"frozenset({'pet_shop', 'food'})"
1.0583466508620234e-05,"frozenset({'sports_leisure', 'food'})"
2.1166933017240467e-05,"frozenset({'food_drink', 'housewares'})"
2.1166933017240467e-05,"frozenset({'sports_leisure', 'food_drink'})"
1.0583466508620234e-05,"frozenset({'furniture_bedroom', 'furniture_decor'})"
7.408426556034164e-05,"frozenset({'furniture_living_room', 'furniture_decor'})"
0.00016933546413792374,"frozenset({'furniture_decor', 'garden_tools'})"
3.17503995258607e-05,"frozenset({'health_beauty', 'furniture_decor'})"
6.35007990517214e-05,"frozenset({'home_confort', 'furniture_decor'})"
0.00013758506461206303,"frozenset({'home_construction', 'furniture_decor'})"
0.0002540031962068856,"frozenset({'furniture_decor', 'housewares'})"
2.1166933017240467e-05,"frozenset({'industry_commerce_and_business', 'furniture_decor'})"
1.0583466508620234e-05,"frozenset({'furniture_decor', 'kitchen_dining_laundry_garden_furniture'})"
3.17503995258607e-05,"frozenset({'market_place', 'furniture_decor'})"
1.0583466508620234e-05,"frozenset({'furniture_decor', 'musical_instruments'})"
4.2333866034480934e-05,"frozenset({'office_furniture', 'furniture_decor'})"
2.1166933017240467e-05,"frozenset({'furniture_decor', 'perfumery'})"
2.1166933017240467e-05,"frozenset({'pet_shop', 'furniture_decor'})"
1.0583466508620234e-05,"frozenset({'small_appliances', 'furniture_decor'})"
3.17503995258607e-05,"frozenset({'sports_leisure', 'furniture_decor'})"
2.1166933017240467e-05,"frozenset({'furniture_decor', 'stationery'})"
6.35007990517214e-05,"frozenset({'watches_gifts', 'furniture_decor'})"
1.0583466508620234e-05,"frozenset({'furniture_living_room', 'garden_tools'})"
3.17503995258607e-05,"frozenset({'furniture_living_room', 'office_furniture'})"
1.0583466508620234e-05,"frozenset({'furniture_living_room', 'toys'})"
7.408426556034164e-05,"frozenset({'home_construction', 'garden_tools'})"
0.00011641813159482257,"frozenset({'garden_tools', 'housewares'})"
1.0583466508620234e-05,"frozenset({'luggage_accessories', 'garden_tools'})"
1.0583466508620234e-05,"frozenset({'pet_shop', 'garden_tools'})"
3.17503995258607e-05,"frozenset({'sports_leisure', 'garden_tools'})"
2.1166933017240467e-05,"frozenset({'stationery', 'garden_tools'})"
1.0583466508620234e-05,"frozenset({'telephony', 'garden_tools'})"
2.1166933017240467e-05,"frozenset({'watches_gifts', 'garden_tools'})"
1.0583466508620234e-05,"frozenset({'health_beauty', 'housewares'})"
2.1166933017240467e-05,"frozenset({'health_beauty', 'luggage_accessories'})"
2.1166933017240467e-05,"frozenset({'health_beauty', 'market_place'})"
0.0001270015981034428,"frozenset({'health_beauty', 'perfumery'})"
1.0583466508620234e-05,"frozenset({'health_beauty', 'pet_shop'})"
1.0583466508620234e-05,"frozenset({'small_appliances', 'health_beauty'})"
0.00014816853112068328,"frozenset({'sports_leisure', 'health_beauty'})"
4.2333866034480934e-05,"frozenset({'health_beauty', 'stationery'})"
2.1166933017240467e-05,"frozenset({'health_beauty', 'telephony'})"
1.0583466508620234e-05,"frozenset({'health_beauty', 'toys'})"
3.17503995258607e-05,"frozenset({'watches_gifts', 'health_beauty'})"
1.0583466508620234e-05,"frozenset({'home_comfort_2', 'musical_instruments'})"
1.0583466508620234e-05,"frozenset({'home_confort', 'housewares'})"
1.0583466508620234e-05,"frozenset({'watches_gifts', 'home_confort'})"
2.1166933017240467e-05,"frozenset({'home_construction', 'housewares'})"
1.0583466508620234e-05,"frozenset({'industry_commerce_and_business', 'housewares'})"
2.1166933017240467e-05,"frozenset({'kitchen_dining_laundry_garden_furniture', 'housewares'})"
2.1166933017240467e-05,"frozenset({'market_place', 'housewares'})"
1.0583466508620234e-05,"frozenset({'perfumery', 'housewares'})"
1.0583466508620234e-05,"frozenset({'small_appliances', 'housewares'})"
0.00011641813159482257,"frozenset({'sports_leisure', 'housewares'})"
4.2333866034480934e-05,"frozenset({'stationery', 'housewares'})"
2.1166933017240467e-05,"frozenset({'watches_gifts', 'housewares'})"
1.0583466508620234e-05,"frozenset({'industry_commerce_and_business', 'office_furniture'})"
1.0583466508620234e-05,"frozenset({'kitchen_dining_laundry_garden_furniture', 'toys'})"
1.0583466508620234e-05,"frozenset({'luggage_accessories', 'musical_instruments'})"
5.2917332543101164e-05,"frozenset({'luggage_accessories', 'stationery'})"
1.0583466508620234e-05,"frozenset({'telephony', 'luggage_accessories'})"
1.0583466508620234e-05,"frozenset({'market_place', 'musical_instruments'})"
1.0583466508620234e-05,"frozenset({'market_place', 'perfumery'})"
1.0583466508620234e-05,"frozenset({'perfumery', 'music'})"
1.0583466508620234e-05,"frozenset({'musical_instruments', 'toys'})"
1.0583466508620234e-05,"frozenset({'watches_gifts', 'musical_instruments'})"
2.1166933017240467e-05,"frozenset({'sports_leisure', 'office_furniture'})"
1.0583466508620234e-05,"frozenset({'pet_shop', 'perfumery'})"
3.17503995258607e-05,"frozenset({'sports_leisure', 'perfumery'})"
2.1166933017240467e-05,"frozenset({'perfumery', 'toys'})"
1.0583466508620234e-05,"frozenset({'watches_gifts', 'perfumery'})"
1.0583466508620234e-05,"frozenset({'sports_leisure', 'pet_shop'})"
1.0583466508620234e-05,"frozenset({'small_appliances', 'sports_leisure'})"
1.0583466508620234e-05,"frozenset({'small_appliances', 'telephony'})"
1.0583466508620234e-05,"frozenset({'sports_leisure', 'stationery'})"
4.2333866034480934e-05,"frozenset({'sports_leisure', 'toys'})"
5.2917332543101164e-05,"frozenset({'watches_gifts', 'sports_leisure'})"
6.35007990517214e-05,"frozenset({'stationery', 'toys'})"
2.1166933017240467e-05,"frozenset({'watches_gifts', 'stationery'})"
1.0583466508620234e-05,"frozenset({'telephony', 'toys'})"
2.1166933017240467e-05,"frozenset({'watches_gifts', 'telephony'})"
1.0583466508620234e-05,"frozenset({'watches_gifts', 'toys'})"
1.0583466508620234e-05,"frozenset({'bed_bath_table', 'cool_stuff', 'auto'})"
1.0583466508620234e-05,"frozenset({'fashion_bags_accessories', 'musical_instruments', 'auto'})"
1.0583466508620234e-05,"frozenset({'bed_bath_table', 'cool_stuff', 'baby'})"
1.0583466508620234e-05,"frozenset({'bed_bath_table', 'furniture_decor', 'baby'})"
1.0583466508620234e-05,"frozenset({'construction_tools_lights', 'bed_bath_table', 'garden_tools'})"
1.0583466508620234e-05,"frozenset({'home_confort', 'bed_bath_table', 'furniture_decor'})"
1.0583466508620234e-05,"frozenset({'office_furniture', 'bed_bath_table', 'furniture_decor'})"
1.0583466508620234e-05,"frozenset({'market_place', 'bed_bath_table', 'perfumery'})"
1.0583466508620234e-05,"frozenset({'cine_photo', 'cool_stuff', 'telephony'})"
1.0583466508620234e-05,"frozenset({'home_construction', 'cool_stuff', 'computers_accessories'})"
1.0583466508620234e-05,"frozenset({'sports_leisure', 'computers_accessories', 'health_beauty'})"
1.0583466508620234e-05,"frozenset({'home_construction', 'furniture_decor', 'garden_tools'})"
1.0583466508620234e-05,"frozenset({'home_construction', 'furniture_decor', 'housewares'})"
1.0583466508620234e-05,"frozenset({'watches_gifts', 'furniture_decor', 'housewares'})"
1.0583466508620234e-05,"frozenset({'sports_leisure', 'pet_shop', 'furniture_decor'})"
