antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'home_comfort_2'}),frozenset({'musical_instruments'}),0.00024341972969826536,0.006402997237715241,1.0583466508620234e-05,0.043478260869565216,6.790298239310097,1.0,9.024850651756849e-06,1.0387605028878433,0.8529386856368562,0.001594896331738437,0.037314186263422255,0.022565576715774343
frozenset({'musical_instruments'}),frozenset({'home_comfort_2'}),0.006402997237715241,0.00024341972969826536,1.0583466508620234e-05,0.001652892561983471,6.790298239310097,1.0,9.024850651756849e-06,1.0014118063965771,0.8582262840587119,0.001594896331738437,0.001409816009317118,0.022565576715774343
"frozenset({'bed_bath_table', 'cool_stuff'})",frozenset({'auto'}),0.00010583466508620233,0.0401219215341793,1.0583466508620234e-05,0.1,2.49240305987866,1.0,6.337176380435478e-06,1.0665311982953563,0.5988441631296506,0.0002631578947368421,0.0623809208785393,0.05013189132155105
"frozenset({'bed_bath_table', 'auto'})",frozenset({'cool_stuff'}),2.1166933017240467e-05,0.03737022024193804,1.0583466508620234e-05,0.5,13.379637496459928,1.0,9.792453559919606e-06,1.925259559516124,0.9252791448378049,0.0002831257078142695,0.4805895158098421,0.25014160294534127
"frozenset({'cool_stuff', 'auto'})",frozenset({'bed_bath_table'}),3.17503995258607e-05,0.09712447214960788,1.0583466508620234e-05,0.33333333333333337,3.4320220841959976,1.0,7.499725714131853e-06,1.3543132917755882,0.7086490834426993,0.00010894432944765226,0.26161841128433555,0.16672115070284407
frozenset({'bed_bath_table'}),"frozenset({'cool_stuff', 'auto'})",0.09712447214960788,3.17503995258607e-05,1.0583466508620234e-05,0.00010896807235480004,3.4320220841959976,1.0,7.499725714131853e-06,1.0000772260880069,0.7848552338530067,0.00010894432944765226,7.722012459874679e-05,0.16672115070284407
frozenset({'cool_stuff'}),"frozenset({'bed_bath_table', 'auto'})",0.03737022024193804,2.1166933017240467e-05,1.0583466508620234e-05,0.00028320589068252624,13.379637496459928,1.0,9.792453559919606e-06,1.0002621131896647,0.9611790316196842,0.0002831257078142695,0.0002620445043437567,0.25014160294534127
frozenset({'auto'}),"frozenset({'bed_bath_table', 'cool_stuff'})",0.0401219215341793,0.00010583466508620233,1.0583466508620234e-05,0.0002637826431020839,2.49240305987866,1.0,6.337176380435478e-06,1.0001579896529442,0.6238092087853929,0.0002631578947368421,0.00015796469615659474,0.05013189132155105
"frozenset({'fashion_bags_accessories', 'musical_instruments'})",frozenset({'auto'}),1.0583466508620234e-05,0.0401219215341793,1.0583466508620234e-05,1.0,24.9240305987866,1.0,1.0158837495801758e-05,inf,0.9598882374108333,0.0002637826431020839,1.0,0.500131891321551
"frozenset({'fashion_bags_accessories', 'auto'})",frozenset({'musical_instruments'}),1.0583466508620234e-05,0.006402997237715241,1.0583466508620234e-05,1.0,156.17685950413224,1.0,1.0515700601800087e-05,inf,0.9936075185741803,0.001652892561983471,1.0,0.5008264462809917
"frozenset({'musical_instruments', 'auto'})",frozenset({'fashion_bags_accessories'}),1.0583466508620234e-05,0.019177241313619864,1.0583466508620234e-05,1.0,52.14514348785872,1.0,1.038050481744981e-05,inf,0.9808331393010604,0.0005518763796909492,1.0,0.5002759381898455
